name,url,price_old,price_new,image,description,article,brand,weight,country,application,warning,consist
"Пудра-заповнювач для брів 01 ALIX AVIEN, 0,7 г",https://livesta.com.ua/index.php?route=product/product&product_id=8554,150.0,99.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b337ecf3c11ec963b3cecef28bac7_4982aaefd73911ec963b3cecef28bac7-400x400.jpg,,#254209,ALIX AVIEN,0.7 г,ТУРЕЧЧИНА,Для зовнішнього використання наносити штрихами в напрямку росту брів.,Щільно закручувати ковпачок з аплікатором. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Тальк, октенілсукцинат алюмінію крохмалю, кросполімер HDI/триметилол гексилактону, поліметилметакрилат, диметикон, етилгексилпальмітат, кремнезем, стеарат цинку, феноксиетанол, триетоксикаприлилсилан, гідроксид алюмінію, етилгексилгліцерин (+/- (може містити): CI 77891, CI 77491, CI 77492, СІ 77499)."
"Туш для вій ALIX AVIEN 3 в 1, 10 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8636,630.0,299.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b33d0cf3c11ec963b3cecef28bac7_b523844fe0bf11ec963b3cecef28bac7-400x400.jpg,,#253602,ALIX AVIEN,10 мл,ІТАЛІЯ,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, CI 77499 (оксиди заліза), гліцерил стеарат, мікрокристалічний віск, касторова олія, карнаубський віск,  полівініловий спирт, пропіленгліколь, стеаринова кислота, триетаноламін, пальмітинова кислота, феноксиетанол, дегідроацетат натрію, лецитин, токоферол, аскорбіл пальмітат, трополон, лимонна кислота."
"Об'ємна туш для вій ALIX AVIEN, 10 мл",https://livesta.com.ua/index.php?route=product/product&product_id=8637,630.0,299.0,https://livesta.com.ua/image/cache/import_files/ac/ac6b33d1cf3c11ec963b3cecef28bac7_ab5d4912e0bf11ec963b3cecef28bac7-400x400.jpg,,#253603,ALIX AVIEN,10 мл,ІТАЛІЯ,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.,"Вода, CI 77499 (оксиди заліза), гліцерил стеарат, мікрокристалічний вік, касторова олія, карнаубський віск,  полівініловий спирт, пропіленгліколь, стеаринова кислота, триетаноламін, пальмітинова кислота, феноксиетанол, дегідроацетат натрію, лецитин, токоферол, аскорбіл пальмітат, трополон, лимонна кислота."
"Подовжуюча туш для вій «Dream Length” Livesta, 12 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9070,320.0,229.0,https://livesta.com.ua/image/cache/import_files/43/4327941d339511ed963d3cecef28bac7_3c5e859256d411ed963f3cecef28bac7-400x400.jpg,"Легка формула туші з інтенсивним пігментом забезпечує підкручення, збільшення об’єму та ефект відкритого погляду, що зберігається протягом усього дня. Туш «Dream Length» покриває вії від коренів до кінчиків надаючи їм подовження і розділення, не злипається та не розмазується.  Не містить шкідливих для здоров'я речовин.",#113601,LIVESTA,12 мл,ТУРЕЧЧИНА,"Для зовнішнього використання та для досягнення найкращого результату починати нанесення від коренів вій, проводячи тушшю вгору зигзагоподібними рухами. Після висихання за бажанням нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці за кімнатної температури. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"вода, парафін, гліцерил стеарат, синтетичний віск, стеаринова кислота, камедь сенегальської акації, бутиленгліколь, пальмітинова кислота, віск з висівок рису, полібутен, ейкозен співполімер, озокерит, амінометил пропанол, гідрогенізована рослинна олія, феноксіетанол, стеаріл стеарат, гідроксіетилцелюлоза, трополон, CI 77499 (чорний оксид заліза)."
"Об'ємна туш для вій “Impressive Volume” Livesta, 12 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9071,320.0,229.0,https://livesta.com.ua/image/cache/import_files/43/43279430339511ed963d3cecef28bac7_3c5e85a656d411ed963f3cecef28bac7-400x400.jpg,"Універсальна кремова формула туші, яка дуже проста у нанесенні, щедро фарбує вії, надаючи їм густоти та довжини. Стійка туш   «Impressive Volume» забезпечує дивовижний вигляд очей надаючи додатковий об’єм і збільшення вій.   Не містить шкідливих для здоров'я речовин.",#113602,LIVESTA,12 мл,ТУРЕЧЧИНА,"Для зовнішнього використання та для досягнення   найкращого результату починати нанесення від коренів вій, проводячи   тушшю вгору зигзагоподібними рухами. Після висихання за бажанням   нанести другий або третій шар.",Щільно закривати. Зберігати в недоступному для дітей місці за кімнатної температури. Не використовувати у разі наявності   алергічної реакції на будь-який з компонентів.   Не використовувати після закінчення терміну придатності,"вода, парафін, гліцерил стеарат, синтетичний віск, 
стеаринова кислота, камедь сенегальської акації, бутиленгліколь, 
пальмітинова кислота, віск з висівок рису, полібутен, ейкозен 
співполімер, озокерит, амінометил пропанол, гідрогенізована 
рослинна олія, феноксіетанол, стеаріл стеарат, 
гідроксіетилцелюлоза, трополон, CI 77499 (чорний оксид заліза)."
"Рідка матова помада Livesta 3 Порцелянова троянда, 5,5 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9074,350.0,249.0,https://livesta.com.ua/image/cache/import_files/43/43279469339511ed963d3cecef28bac7_3c5e85e256d411ed963f3cecef28bac7-400x400.jpg,"Рідка помада забезпечує насичений колір із матовим завершенням, не сушить губи, надаючи комфортне відчуття протягом дня. Кремова текстура   та пом'якшуючі компоненти зволожують ніжну шкіру губ, а зручний аплікатор дозволяє легко наносити і рівномірно розподіляти необхідну кількість   для акуратного макіяжу губ. Стійкий матовий ефект надає макіяжу виняткового вигляду. Не містить шкідливих для здоров'я речовин.",#114003,LIVESTA,5.5 мл,ТУРЕЧЧИНА,"Для зовнішнього використання нанести необхідну кількість рідкої помади на губи та рівномірно розподілити від центру до країв, щоб уникнути занадто щільного шару в куточках губ. Для максимального ефекту нанести подвійний шар в центрі. Рекомендується використовувати олівець для губ.",Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Зберігати в недоступному для дітей місці за кімнатної температури. Уникати попадання сонячних променів. Не використовувати у разі наявності алергічної реакції на будь-який з компонентів. Не використовувати після закінчення терміну придатності.,"ізододекан, триметилсилоксисилікат, диметикон, бджолиний віск, дистеардімоніум гекторит, циклопентасилоксан, нейлон-12, пропіленкарбонат, циклогексасилоксан, феноксиетанол, тальк, віддушка, етилгексилгліцерин, токоферил ацетат, пентаеритритил тетра-ди-трет-бутил гідроксигідроциннамат. Може містити (+/-): CI 77891 (діоксид титану), CI 77491, CI 77492, CI 77499 (оксид заліза), CI 45410, CI 15985, CI 15850, CI 17200."
"Жіночий парфумований спрей-міст для тіла Lady's Secret Rush, 250 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9005,400.0,299.0,https://livesta.com.ua/image/cache/import_files/99/99bc853a0dcc11ed963b3cecef28bac7_44bda44a1d5711ed963d3cecef28bac7-400x400.jpg,"Верхні ноти: персик, абрикос, лимон
Ноти серця: кокос, ванільне молоко
Шлейфові ноти: нота сандала, ваніль, мускус

Парфумований міст стане відмінним вибором для кожної пані! Він має не такий інтенсивний та яскраво виражений запах, як парфуми, тому не обтяжує образ, не набридає, а навпаки - додає жінці особливої чарівності. Міст залишає на тілі стійкий вишуканий аромат, чудово освіжає, а також забезпечує необхідний догляд за шкірою. Не містить шкідливих для здоров’я речовин.",#284613,Lady's Secret,250 мл,ТУРЕЧЧИНА,Для зовнішнього використання розпилити спрей на чисту та суху шкіру з відстані 15 см. Використовувати відразу після душу або за бажанням протягом усього дня.,"Легкозаймистий. Не застосовувати засіб біля вогню, джерел займання та розпечених предметів. Не наносити на подразнену шкіру. Не розпиляти безпосередньо на обличчя та в очі. У разі потрапляння в очі промити великою кількістю води. Зберігати при кімнатній температурі в недоступному для дітей місці. Не використовувати після закінчення терміну придатності.","Денатурований спирт, вода, віддушка, гліцерин, ПЕГ-20 метил глюкози сесквістеарат, бензофенон-4, триетаноламін, ліналоол, лімонен, бензилсаліцилат, кумарин, цитраль."
"Парфумована вода для жінок Livesta, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9043,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b683499f1f9511ed963d3cecef28bac7_3726eb4842ea11ed963e3cecef28bac7-400x400.jpg,"Акватичні, квіткові.  

Верхні ноти: ківі, ревінь, рожевий перець  
Ноти серця: кавун, цикламен, жасмин  
Шлейфові ноти: мускус, сандал, лимонне дерево",#114501,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Бензофенон-3, Гераніол, Cı 19140 (Жовтий Барвник), Cı 15985 (Жовто-Помаранчевий Барвник)."
"Парфумована вода для жінок Angel, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9050,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b6834a241f9511ed963d3cecef28bac7_59f24b2442ea11ed963e3cecef28bac7-400x400.jpg,"Цитрусові, квіткові.  
Верхні ноти: листя чаю, лимон, неролі  
Ноти серця: квітка плюмерії, жасмин,  апельсиновий цвіт  
Шлейфові ноти: білий мускус, кедр,  пачулі, ваніль",#114508,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Цитраль, Цитронелол, Лімонен, Ліналоол."
"Парфумована вода для жінок Elma, 50 мл",https://livesta.com.ua/index.php?route=product/product&product_id=9051,700.0,499.0,https://livesta.com.ua/image/cache/import_files/b6/b6834a371f9511ed963d3cecef28bac7_59f24b7e42ea11ed963e3cecef28bac7-400x400.jpg,"Квіткові.  
Верхні ноти: магнолія, грейпфрут, огірок  
Ноти серця: троянда, фіалка, конвалія,  зелене яблуко, тубероза  
Шлейфові ноти: деревні ноти, біла амбра, сандал",#114509,LIVESTA,50 мл,ТУРЕЧЧИНА,Тільки для зовнішнього використання. При нанесенні тримати флакон вертикально,"Не розпиляти поблизу відкритого вогню, легкозаймистих матеріалів або розпечених предметів. Уникати нагрівання вище 50° С та впливу прямих сонячних променів. Легкозаймистий. Уникати контакту з очима. У разі потрапляння в очі промити великою кількістю води. Не розпиляти на подразнену шкіру. Не ковтати. Зберігати в прохолодному місці подалі від дітей. Не використовувати після закінчення терміну придатності.","Денатурований Спирт, Віддушка, Вода, Цитронелол, Гераніол, Гидроксицитронеллаль, Ізоевгенол, Лімонен, Ліналоол, Альфа-Ізометил Іонон."
